mode,example,elapsed_ms
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,1013
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,BGP_routing,1014
all-on,boolean_ops,86
without-bidirectional,boolean_ops,89
without-remove-redundant-parts,boolean_ops,89
without-bidirectional without-remove-redundant-parts,boolean_ops,85
without-remove-redundant-sets,boolean_ops,86
without-bidirectional without-remove-redundant-sets,boolean_ops,87
without-remove-redundant-parts without-remove-redundant-sets,boolean_ops,84
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,boolean_ops,89
without-generate-less,boolean_ops,84
without-bidirectional without-generate-less,boolean_ops,88
without-remove-redundant-parts without-generate-less,boolean_ops,86
without-bidirectional without-remove-redundant-parts without-generate-less,boolean_ops,88
without-remove-redundant-sets without-generate-less,boolean_ops,85
without-bidirectional without-remove-redundant-sets without-generate-less,boolean_ops,86
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,boolean_ops,88
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,boolean_ops,87
without-smart-kleene-order,boolean_ops,89
without-bidirectional without-smart-kleene-order,boolean_ops,87
without-remove-redundant-parts without-smart-kleene-order,boolean_ops,87
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,boolean_ops,86
without-remove-redundant-sets without-smart-kleene-order,boolean_ops,86
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,boolean_ops,84
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,boolean_ops,88
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,boolean_ops,85
without-generate-less without-smart-kleene-order,boolean_ops,87
without-bidirectional without-generate-less without-smart-kleene-order,boolean_ops,86
without-remove-redundant-parts without-generate-less without-smart-kleene-order,boolean_ops,89
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,boolean_ops,84
without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,89
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,89
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,87
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,88
all-on,complex_expr,89
without-bidirectional,complex_expr,87
without-remove-redundant-parts,complex_expr,87
without-bidirectional without-remove-redundant-parts,complex_expr,85
without-remove-redundant-sets,complex_expr,90
without-bidirectional without-remove-redundant-sets,complex_expr,85
without-remove-redundant-parts without-remove-redundant-sets,complex_expr,86
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,complex_expr,86
without-generate-less,complex_expr,87
without-bidirectional without-generate-less,complex_expr,84
without-remove-redundant-parts without-generate-less,complex_expr,82
without-bidirectional without-remove-redundant-parts without-generate-less,complex_expr,90
without-remove-redundant-sets without-generate-less,complex_expr,86
without-bidirectional without-remove-redundant-sets without-generate-less,complex_expr,81
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_expr,84
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_expr,87
without-smart-kleene-order,complex_expr,87
without-bidirectional without-smart-kleene-order,complex_expr,85
without-remove-redundant-parts without-smart-kleene-order,complex_expr,84
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,complex_expr,84
without-remove-redundant-sets without-smart-kleene-order,complex_expr,85
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,complex_expr,86
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_expr,85
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_expr,85
without-generate-less without-smart-kleene-order,complex_expr,82
without-bidirectional without-generate-less without-smart-kleene-order,complex_expr,89
without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_expr,87
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_expr,85
without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,84
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,87
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,84
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,82
all-on,complex_while_with_yields,172
without-bidirectional,complex_while_with_yields,166
without-remove-redundant-parts,complex_while_with_yields,153
without-bidirectional without-remove-redundant-parts,complex_while_with_yields,143
without-remove-redundant-sets,complex_while_with_yields,169
without-bidirectional without-remove-redundant-sets,complex_while_with_yields,168
without-remove-redundant-parts without-remove-redundant-sets,complex_while_with_yields,153
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,complex_while_with_yields,145
without-generate-less,complex_while_with_yields,171
without-bidirectional without-generate-less,complex_while_with_yields,167
without-remove-redundant-parts without-generate-less,complex_while_with_yields,150
without-bidirectional without-remove-redundant-parts without-generate-less,complex_while_with_yields,162
without-remove-redundant-sets without-generate-less,complex_while_with_yields,191
without-bidirectional without-remove-redundant-sets without-generate-less,complex_while_with_yields,170
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_while_with_yields,151
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_while_with_yields,157
without-smart-kleene-order,complex_while_with_yields,166
without-bidirectional without-smart-kleene-order,complex_while_with_yields,166
without-remove-redundant-parts without-smart-kleene-order,complex_while_with_yields,153
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,complex_while_with_yields,150
without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,167
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,163
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,149
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,149
without-generate-less without-smart-kleene-order,complex_while_with_yields,172
without-bidirectional without-generate-less without-smart-kleene-order,complex_while_with_yields,163
without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_while_with_yields,155
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_while_with_yields,150
without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,168
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,161
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,149
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,153
all-on,equality_check,85
without-bidirectional,equality_check,84
without-remove-redundant-parts,equality_check,83
without-bidirectional without-remove-redundant-parts,equality_check,83
without-remove-redundant-sets,equality_check,82
without-bidirectional without-remove-redundant-sets,equality_check,85
without-remove-redundant-parts without-remove-redundant-sets,equality_check,83
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,equality_check,87
without-generate-less,equality_check,86
without-bidirectional without-generate-less,equality_check,83
without-remove-redundant-parts without-generate-less,equality_check,86
without-bidirectional without-remove-redundant-parts without-generate-less,equality_check,89
without-remove-redundant-sets without-generate-less,equality_check,83
without-bidirectional without-remove-redundant-sets without-generate-less,equality_check,83
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,equality_check,86
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,equality_check,83
without-smart-kleene-order,equality_check,85
without-bidirectional without-smart-kleene-order,equality_check,89
without-remove-redundant-parts without-smart-kleene-order,equality_check,84
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,equality_check,84
without-remove-redundant-sets without-smart-kleene-order,equality_check,88
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,equality_check,83
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,equality_check,85
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,equality_check,85
without-generate-less without-smart-kleene-order,equality_check,84
without-bidirectional without-generate-less without-smart-kleene-order,equality_check,88
without-remove-redundant-parts without-generate-less without-smart-kleene-order,equality_check,87
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,equality_check,92
without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,85
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,89
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,88
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,85
all-on,ex,105
without-bidirectional,ex,107
without-remove-redundant-parts,ex,106
without-bidirectional without-remove-redundant-parts,ex,99
without-remove-redundant-sets,ex,106
without-bidirectional without-remove-redundant-sets,ex,102
without-remove-redundant-parts without-remove-redundant-sets,ex,104
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,ex,99
without-generate-less,ex,105
without-bidirectional without-generate-less,ex,104
without-remove-redundant-parts without-generate-less,ex,110
without-bidirectional without-remove-redundant-parts without-generate-less,ex,102
without-remove-redundant-sets without-generate-less,ex,104
without-bidirectional without-remove-redundant-sets without-generate-less,ex,101
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,ex,102
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,ex,99
without-smart-kleene-order,ex,107
without-bidirectional without-smart-kleene-order,ex,106
without-remove-redundant-parts without-smart-kleene-order,ex,102
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,ex,108
without-remove-redundant-sets without-smart-kleene-order,ex,102
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,ex,103
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,ex,103
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,ex,101
without-generate-less without-smart-kleene-order,ex,102
without-bidirectional without-generate-less without-smart-kleene-order,ex,103
without-remove-redundant-parts without-generate-less without-smart-kleene-order,ex,102
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,ex,102
without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,107
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,104
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,102
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,102
all-on,flag_non_ser,110
without-bidirectional,flag_non_ser,107
without-remove-redundant-parts,flag_non_ser,106
without-bidirectional without-remove-redundant-parts,flag_non_ser,108
without-remove-redundant-sets,flag_non_ser,105
without-bidirectional without-remove-redundant-sets,flag_non_ser,104
without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser,103
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser,107
without-generate-less,flag_non_ser,112
without-bidirectional without-generate-less,flag_non_ser,106
without-remove-redundant-parts without-generate-less,flag_non_ser,108
without-bidirectional without-remove-redundant-parts without-generate-less,flag_non_ser,107
without-remove-redundant-sets without-generate-less,flag_non_ser,105
without-bidirectional without-remove-redundant-sets without-generate-less,flag_non_ser,105
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser,106
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser,111
without-smart-kleene-order,flag_non_ser,110
without-bidirectional without-smart-kleene-order,flag_non_ser,102
without-remove-redundant-parts without-smart-kleene-order,flag_non_ser,106
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,flag_non_ser,101
without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,106
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,111
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,119
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,108
without-generate-less without-smart-kleene-order,flag_non_ser,111
without-bidirectional without-generate-less without-smart-kleene-order,flag_non_ser,106
without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser,109
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser,107
without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,112
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,116
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,108
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,108
all-on,flag_non_ser_turned_ser,91
without-bidirectional,flag_non_ser_turned_ser,92
without-remove-redundant-parts,flag_non_ser_turned_ser,94
without-bidirectional without-remove-redundant-parts,flag_non_ser_turned_ser,91
without-remove-redundant-sets,flag_non_ser_turned_ser,89
without-bidirectional without-remove-redundant-sets,flag_non_ser_turned_ser,91
without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser_turned_ser,94
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser_turned_ser,93
without-generate-less,flag_non_ser_turned_ser,96
without-bidirectional without-generate-less,flag_non_ser_turned_ser,96
without-remove-redundant-parts without-generate-less,flag_non_ser_turned_ser,90
without-bidirectional without-remove-redundant-parts without-generate-less,flag_non_ser_turned_ser,93
without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,95
without-bidirectional without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,92
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser_turned_ser,94
without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-smart-kleene-order,flag_non_ser_turned_ser,93
without-remove-redundant-parts without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,flag_non_ser_turned_ser,93
without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,94
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,95
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser_turned_ser,93
without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,92
without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,92
without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,94
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,93
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser_turned_ser,94
all-on,fred2_arith,201
without-bidirectional,fred2_arith,206
without-remove-redundant-parts,fred2_arith,196
without-bidirectional without-remove-redundant-parts,fred2_arith,192
without-remove-redundant-sets,fred2_arith,213
without-bidirectional without-remove-redundant-sets,fred2_arith,201
without-remove-redundant-parts without-remove-redundant-sets,fred2_arith,204
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,fred2_arith,199
without-generate-less,fred2_arith,481
without-bidirectional without-generate-less,fred2_arith,459
without-remove-redundant-parts without-generate-less,fred2_arith,464
without-bidirectional without-remove-redundant-parts without-generate-less,fred2_arith,461
without-remove-redundant-sets without-generate-less,fred2_arith,484
without-bidirectional without-remove-redundant-sets without-generate-less,fred2_arith,473
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2_arith,481
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2_arith,463
without-smart-kleene-order,fred2_arith,222
without-bidirectional without-smart-kleene-order,fred2_arith,204
without-remove-redundant-parts without-smart-kleene-order,fred2_arith,189
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,fred2_arith,192
without-remove-redundant-sets without-smart-kleene-order,fred2_arith,371
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,fred2_arith,222
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2_arith,275
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2_arith,205
without-generate-less without-smart-kleene-order,fred2_arith,1029
without-bidirectional without-generate-less without-smart-kleene-order,fred2_arith,531
without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2_arith,1031
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,fred2_arith,1057
without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,256
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,252
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,140
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,fred2_arith,1027
all-on,fred2,215
without-bidirectional,fred2,207
without-remove-redundant-parts,fred2,197
without-bidirectional without-remove-redundant-parts,fred2,192
without-remove-redundant-sets,fred2,214
without-bidirectional without-remove-redundant-sets,fred2,213
without-remove-redundant-parts without-remove-redundant-sets,fred2,202
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,fred2,188
without-generate-less,fred2,475
without-bidirectional without-generate-less,fred2,486
without-remove-redundant-parts without-generate-less,fred2,477
without-bidirectional without-remove-redundant-parts without-generate-less,fred2,475
without-remove-redundant-sets without-generate-less,fred2,482
without-bidirectional without-remove-redundant-sets without-generate-less,fred2,461
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2,458
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,fred2,472
without-smart-kleene-order,fred2,231
without-bidirectional without-smart-kleene-order,fred2,207
without-remove-redundant-parts without-smart-kleene-order,fred2,204
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,fred2,193
without-remove-redundant-sets without-smart-kleene-order,fred2,246
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,fred2,204
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2,199
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,fred2,195
