bidirectional ON,remove-redundant-parts ON,remove-redundant-sets ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,1,0,0,1,fred_arith,ser,30000,414,1
0,1,0,0,1,fred_arith,ser,30000,408,1
1,0,0,0,1,fred_arith,ser,30000,408,1
0,0,0,0,1,fred_arith,ser,30000,411,1
1,1,1,1,0,fred_arith,ser,30000,131,1
0,1,1,1,0,fred_arith,ser,30000,149,1
1,0,1,1,0,fred_arith,ser,30000,131,1
0,0,1,1,0,fred_arith,ser,30000,136,1
1,1,0,1,0,fred_arith,ser,30000,135,1
0,1,0,1,0,fred_arith,ser,30000,160,1
1,0,0,1,0,fred_arith,ser,30000,131,1
0,0,0,1,0,fred_arith,ser,30000,131,1
1,1,1,0,0,fred_arith,ser,30000,15455,1
0,1,1,0,0,fred_arith,ser,30000,204,1
1,0,1,0,0,fred_arith,ser,30000,154,1
0,0,1,0,0,fred_arith,ser,30000,165,1
1,1,0,0,0,fred_arith,ser,30000,183,1
0,1,0,0,0,fred_arith,ser,30000,30945,0
1,0,0,0,0,fred_arith,ser,30000,427,1
0,0,0,0,0,fred_arith,ser,30000,301,1
1,1,1,1,1,fred_arith_simplified_until_1,ser,30000,112,1
0,1,1,1,1,fred_arith_simplified_until_1,ser,30000,113,1
1,0,1,1,1,fred_arith_simplified_until_1,ser,30000,115,1
0,0,1,1,1,fred_arith_simplified_until_1,ser,30000,112,1
1,1,0,1,1,fred_arith_simplified_until_1,ser,30000,115,1
0,1,0,1,1,fred_arith_simplified_until_1,ser,30000,112,1
1,0,0,1,1,fred_arith_simplified_until_1,ser,30000,111,1
0,0,0,1,1,fred_arith_simplified_until_1,ser,30000,113,1
1,1,1,0,1,fred_arith_simplified_until_1,ser,30000,113,1
0,1,1,0,1,fred_arith_simplified_until_1,ser,30000,109,1
1,0,1,0,1,fred_arith_simplified_until_1,ser,30000,111,1
0,0,1,0,1,fred_arith_simplified_until_1,ser,30000,113,1
1,1,0,0,1,fred_arith_simplified_until_1,ser,30000,111,1
0,1,0,0,1,fred_arith_simplified_until_1,ser,30000,121,1
1,0,0,0,1,fred_arith_simplified_until_1,ser,30000,115,1
0,0,0,0,1,fred_arith_simplified_until_1,ser,30000,114,1
1,1,1,1,0,fred_arith_simplified_until_1,ser,30000,118,1
0,1,1,1,0,fred_arith_simplified_until_1,ser,30000,115,1
1,0,1,1,0,fred_arith_simplified_until_1,ser,30000,112,1
0,0,1,1,0,fred_arith_simplified_until_1,ser,30000,113,1
1,1,0,1,0,fred_arith_simplified_until_1,ser,30000,114,1
0,1,0,1,0,fred_arith_simplified_until_1,ser,30000,123,1
1,0,0,1,0,fred_arith_simplified_until_1,ser,30000,112,1
0,0,0,1,0,fred_arith_simplified_until_1,ser,30000,109,1
1,1,1,0,0,fred_arith_simplified_until_1,ser,30000,116,1
0,1,1,0,0,fred_arith_simplified_until_1,ser,30000,113,1
1,0,1,0,0,fred_arith_simplified_until_1,ser,30000,110,1
0,0,1,0,0,fred_arith_simplified_until_1,ser,30000,111,1
1,1,0,0,0,fred_arith_simplified_until_1,ser,30000,110,1
0,1,0,0,0,fred_arith_simplified_until_1,ser,30000,111,1
1,0,0,0,0,fred_arith_simplified_until_1,ser,30000,112,1
0,0,0,0,0,fred_arith_simplified_until_1,ser,30000,139,1
1,1,1,1,1,fred_arith_simplified_until_2,ser,30000,132,1
0,1,1,1,1,fred_arith_simplified_until_2,ser,30000,128,1
1,0,1,1,1,fred_arith_simplified_until_2,ser,30000,125,1
0,0,1,1,1,fred_arith_simplified_until_2,ser,30000,152,1
1,1,0,1,1,fred_arith_simplified_until_2,ser,30000,157,1
0,1,0,1,1,fred_arith_simplified_until_2,ser,30000,127,1
1,0,0,1,1,fred_arith_simplified_until_2,ser,30000,126,1
0,0,0,1,1,fred_arith_simplified_until_2,ser,30000,120,1
1,1,1,0,1,fred_arith_simplified_until_2,ser,30000,167,1
0,1,1,0,1,fred_arith_simplified_until_2,ser,30000,159,1
1,0,1,0,1,fred_arith_simplified_until_2,ser,30000,151,1
0,0,1,0,1,fred_arith_simplified_until_2,ser,30000,167,1
1,1,0,0,1,fred_arith_simplified_until_2,ser,30000,136,1
0,1,0,0,1,fred_arith_simplified_until_2,ser,30000,131,1
1,0,0,0,1,fred_arith_simplified_until_2,ser,30000,150,1
0,0,0,0,1,fred_arith_simplified_until_2,ser,30000,177,1
1,1,1,1,0,fred_arith_simplified_until_2,ser,30000,188,1
0,1,1,1,0,fred_arith_simplified_until_2,ser,30000,164,1
