bidirectional ON,remove-redundant ON,generate-less ON,smart-kleene-order ON,benchmark,type,timeout_ms,time_ms,terminated
1,0,1,0,fred2_arith,ser,30000,226,1
0,0,1,0,fred2_arith,ser,30000,198,1
1,1,0,0,fred2_arith,ser,30000,30773,0
0,1,0,0,fred2_arith,ser,30000,143,1
1,0,0,0,fred2_arith,ser,30000,255,1
0,0,0,0,fred2_arith,ser,30000,147,1
1,1,1,1,fred2,ser,30000,229,1
0,1,1,1,fred2,ser,30000,223,1
1,0,1,1,fred2,ser,30000,205,1
0,0,1,1,fred2,ser,30000,204,1
1,1,0,1,fred2,ser,30000,511,1
0,1,0,1,fred2,ser,30000,500,1
1,0,0,1,fred2,ser,30000,508,1
0,0,0,1,fred2,ser,30000,492,1
1,1,1,0,fred2,ser,30000,237,1
0,1,1,0,fred2,ser,30000,204,1
1,0,1,0,fred2,ser,30000,205,1
0,0,1,0,fred2,ser,30000,191,1
1,1,0,0,fred2,ser,30000,30806,0
0,1,0,0,fred2,ser,30000,30986,0
1,0,0,0,fred2,ser,30000,31014,0
0,0,0,0,fred2,ser,30000,350,1
1,1,1,1,fred_arith,ser,30000,142,1
0,1,1,1,fred_arith,ser,30000,141,1
1,0,1,1,fred_arith,ser,30000,134,1
0,0,1,1,fred_arith,ser,30000,133,1
1,1,0,1,fred_arith,ser,30000,435,1
0,1,0,1,fred_arith,ser,30000,435,1
1,0,0,1,fred_arith,ser,30000,408,1
0,0,0,1,fred_arith,ser,30000,411,1
1,1,1,0,fred_arith,ser,30000,131,1
0,1,1,0,fred_arith,ser,30000,149,1
1,0,1,0,fred_arith,ser,30000,131,1
0,0,1,0,fred_arith,ser,30000,131,1
1,1,0,0,fred_arith,ser,30000,15455,1
0,1,0,0,fred_arith,ser,30000,204,1
1,0,0,0,fred_arith,ser,30000,427,1
0,0,0,0,fred_arith,ser,30000,301,1
1,1,1,1,fred_arith_simplified_until_1,ser,30000,112,1
0,1,1,1,fred_arith_simplified_until_1,ser,30000,113,1
1,0,1,1,fred_arith_simplified_until_1,ser,30000,111,1
0,0,1,1,fred_arith_simplified_until_1,ser,30000,113,1
1,1,0,1,fred_arith_simplified_until_1,ser,30000,113,1
0,1,0,1,fred_arith_simplified_until_1,ser,30000,109,1
1,0,0,1,fred_arith_simplified_until_1,ser,30000,115,1
0,0,0,1,fred_arith_simplified_until_1,ser,30000,114,1
1,1,1,0,fred_arith_simplified_until_1,ser,30000,118,1
0,1,1,0,fred_arith_simplified_until_1,ser,30000,115,1
1,0,1,0,fred_arith_simplified_until_1,ser,30000,112,1
0,0,1,0,fred_arith_simplified_until_1,ser,30000,109,1
1,1,0,0,fred_arith_simplified_until_1,ser,30000,116,1
0,1,0,0,fred_arith_simplified_until_1,ser,30000,113,1
1,0,0,0,fred_arith_simplified_until_1,ser,30000,112,1
0,0,0,0,fred_arith_simplified_until_1,ser,30000,139,1
1,1,1,1,fred_arith_simplified_until_2,ser,30000,132,1
0,1,1,1,fred_arith_simplified_until_2,ser,30000,128,1
1,0,1,1,fred_arith_simplified_until_2,ser,30000,126,1
0,0,1,1,fred_arith_simplified_until_2,ser,30000,120,1
1,1,0,1,fred_arith_simplified_until_2,ser,30000,167,1
0,1,0,1,fred_arith_simplified_until_2,ser,30000,159,1
1,0,0,1,fred_arith_simplified_until_2,ser,30000,150,1
0,0,0,1,fred_arith_simplified_until_2,ser,30000,177,1
1,1,1,0,fred_arith_simplified_until_2,ser,30000,188,1
0,1,1,0,fred_arith_simplified_until_2,ser,30000,164,1
1,0,1,0,fred_arith_simplified_until_2,ser,30000,127,1
0,0,1,0,fred_arith_simplified_until_2,ser,30000,122,1
1,1,0,0,fred_arith_simplified_until_2,ser,30000,128,1
0,1,0,0,fred_arith_simplified_until_2,ser,30000,167,1
1,0,0,0,fred_arith_simplified_until_2,ser,30000,178,1
0,0,0,0,fred_arith_simplified_until_2,ser,30000,173,1
1,1,1,1,fred_arith_tricky2,ser,30000,186,1
0,1,1,1,fred_arith_tricky2,ser,30000,147,1
1,0,1,1,fred_arith_tricky2,ser,30000,149,1
0,0,1,1,fred_arith_tricky2,ser,30000,144,1
1,1,0,1,fred_arith_tricky2,ser,30000,155,1
0,1,0,1,fred_arith_tricky2,ser,30000,143,1
1,0,0,1,fred_arith_tricky2,ser,30000,125,1
0,0,0,1,fred_arith_tricky2,ser,30000,130,1
1,1,1,0,fred_arith_tricky2,ser,30000,140,1
0,1,1,0,fred_arith_tricky2,ser,30000,142,1
1,0,1,0,fred_arith_tricky2,ser,30000,136,1
0,0,1,0,fred_arith_tricky2,ser,30000,129,1
1,1,0,0,fred_arith_tricky2,ser,30000,133,1
0,1,0,0,fred_arith_tricky2,ser,30000,131,1
1,0,0,0,fred_arith_tricky2,ser,30000,134,1
0,0,0,0,fred_arith_tricky2,ser,30000,129,1
1,1,1,1,fred_arith_tricky3,ser,30000,173,1
0,1,1,1,fred_arith_tricky3,ser,30000,172,1
1,0,1,1,fred_arith_tricky3,ser,30000,161,1
0,0,1,1,fred_arith_tricky3,ser,30000,160,1
1,1,0,1,fred_arith_tricky3,ser,30000,173,1
0,1,0,1,fred_arith_tricky3,ser,30000,179,1
1,0,0,1,fred_arith_tricky3,ser,30000,178,1
0,0,0,1,fred_arith_tricky3,ser,30000,159,1
1,1,1,0,fred_arith_tricky3,ser,30000,164,1
0,1,1,0,fred_arith_tricky3,ser,30000,159,1
1,0,1,0,fred_arith_tricky3,ser,30000,162,1
0,0,1,0,fred_arith_tricky3,ser,30000,159,1
1,1,0,0,fred_arith_tricky3,ser,30000,194,1
0,1,0,0,fred_arith_tricky3,ser,30000,185,1
1,0,0,0,fred_arith_tricky3,ser,30000,176,1
0,0,0,0,fred_arith_tricky3,ser,30000,199,1
1,1,1,1,fred_arith_tricky,ser,30000,157,1
0,1,1,1,fred_arith_tricky,ser,30000,147,1
1,0,1,1,fred_arith_tricky,ser,30000,147,1
0,0,1,1,fred_arith_tricky,ser,30000,155,1
1,1,0,1,fred_arith_tricky,ser,30000,163,1
0,1,0,1,fred_arith_tricky,ser,30000,157,1
1,0,0,1,fred_arith_tricky,ser,30000,152,1
0,0,0,1,fred_arith_tricky,ser,30000,153,1
1,1,1,0,fred_arith_tricky,ser,30000,145,1
0,1,1,0,fred_arith_tricky,ser,30000,150,1
1,0,1,0,fred_arith_tricky,ser,30000,149,1
0,0,1,0,fred_arith_tricky,ser,30000,138,1
1,1,0,0,fred_arith_tricky,ser,30000,151,1
0,1,0,0,fred_arith_tricky,ser,30000,152,1
1,0,0,0,fred_arith_tricky,ser,30000,148,1
0,0,0,0,fred_arith_tricky,ser,30000,155,1
1,1,1,1,fred,ser,30000,148,1
0,1,1,1,fred,ser,30000,151,1
1,0,1,1,fred,ser,30000,140,1
0,0,1,1,fred,ser,30000,140,1
1,1,0,1,fred,ser,30000,449,1
0,1,0,1,fred,ser,30000,433,1
1,0,0,1,fred,ser,30000,434,1
0,0,0,1,fred,ser,30000,436,1
1,1,1,0,fred,ser,30000,142,1
0,1,1,0,fred,ser,30000,171,1
1,0,1,0,fred,ser,30000,140,1
0,0,1,0,fred,ser,30000,361,1
1,1,0,0,fred,ser,30000,30288,0
0,1,0,0,fred,ser,30000,204,1
1,0,0,0,fred,ser,30000,2037,1
0,0,0,0,fred,ser,30000,192,1
1,1,1,1,funny,ser,30000,114,1
0,1,1,1,funny,ser,30000,114,1
1,0,1,1,funny,ser,30000,114,1
0,0,1,1,funny,ser,30000,114,1
1,1,0,1,funny,ser,30000,118,1
0,1,0,1,funny,ser,30000,116,1
1,0,0,1,funny,ser,30000,116,1
0,0,0,1,funny,ser,30000,117,1
1,1,1,0,funny,ser,30000,116,1
0,1,1,0,funny,ser,30000,112,1
1,0,1,0,funny,ser,30000,118,1
0,0,1,0,funny,ser,30000,114,1
1,1,0,0,funny,ser,30000,118,1
0,1,0,0,funny,ser,30000,114,1
1,0,0,0,funny,ser,30000,112,1
0,0,0,0,funny,ser,30000,109,1
1,1,1,1,globals,ser,30000,112,1
0,1,1,1,globals,ser,30000,111,1
1,0,1,1,globals,ser,30000,112,1
0,0,1,1,globals,ser,30000,111,1
1,1,0,1,globals,ser,30000,113,1
0,1,0,1,globals,ser,30000,110,1
1,0,0,1,globals,ser,30000,111,1
0,0,0,1,globals,ser,30000,110,1
1,1,1,0,globals,ser,30000,113,1
0,1,1,0,globals,ser,30000,111,1
1,0,1,0,globals,ser,30000,110,1
0,0,1,0,globals,ser,30000,106,1
1,1,0,0,globals,ser,30000,109,1
0,1,0,0,globals,ser,30000,114,1
1,0,0,0,globals,ser,30000,112,1
0,0,0,0,globals,ser,30000,118,1
1,1,1,1,if_expr,ser,30000,93,1
0,1,1,1,if_expr,ser,30000,93,1
1,0,1,1,if_expr,ser,30000,90,1
0,0,1,1,if_expr,ser,30000,90,1
1,1,0,1,if_expr,ser,30000,93,1
0,1,0,1,if_expr,ser,30000,91,1
1,0,0,1,if_expr,ser,30000,93,1
0,0,0,1,if_expr,ser,30000,88,1
1,1,1,0,if_expr,ser,30000,93,1
0,1,1,0,if_expr,ser,30000,88,1
1,0,1,0,if_expr,ser,30000,90,1
0,0,1,0,if_expr,ser,30000,92,1
1,1,0,0,if_expr,ser,30000,88,1
0,1,0,0,if_expr,ser,30000,86,1
1,0,0,0,if_expr,ser,30000,89,1
0,0,0,0,if_expr,ser,30000,89,1
1,1,1,1,if_while,ser,30000,92,1
0,1,1,1,if_while,ser,30000,94,1
1,0,1,1,if_while,ser,30000,92,1
0,0,1,1,if_while,ser,30000,89,1
1,1,0,1,if_while,ser,30000,92,1
0,1,0,1,if_while,ser,30000,90,1
1,0,0,1,if_while,ser,30000,98,1
0,0,0,1,if_while,ser,30000,91,1
1,1,1,0,if_while,ser,30000,93,1
0,1,1,0,if_while,ser,30000,90,1
1,0,1,0,if_while,ser,30000,91,1
0,0,1,0,if_while,ser,30000,103,1
1,1,0,0,if_while,ser,30000,97,1
0,1,0,0,if_while,ser,30000,93,1
1,0,0,0,if_while,ser,30000,90,1
0,0,0,0,if_while,ser,30000,93,1
1,1,1,1,incrdecr,ser,30000,125,1
0,1,1,1,incrdecr,ser,30000,120,1
1,0,1,1,incrdecr,ser,30000,120,1
0,0,1,1,incrdecr,ser,30000,123,1
1,1,0,1,incrdecr,ser,30000,126,1
0,1,0,1,incrdecr,ser,30000,123,1
1,0,0,1,incrdecr,ser,30000,126,1
0,0,0,1,incrdecr,ser,30000,122,1
1,1,1,0,incrdecr,ser,30000,120,1
0,1,1,0,incrdecr,ser,30000,120,1
1,0,1,0,incrdecr,ser,30000,127,1
0,0,1,0,incrdecr,ser,30000,123,1
1,1,0,0,incrdecr,ser,30000,131,1
0,1,0,0,incrdecr,ser,30000,134,1
1,0,0,0,incrdecr,ser,30000,133,1
0,0,0,0,incrdecr,ser,30000,139,1
1,1,1,1,less_simple_ser,ser,30000,137,1
0,1,1,1,less_simple_ser,ser,30000,134,1
1,0,1,1,less_simple_ser,ser,30000,779,1
0,0,1,1,less_simple_ser,ser,30000,158,1
1,1,0,1,less_simple_ser,ser,30000,96,1
0,1,0,1,less_simple_ser,ser,30000,401,1
1,0,0,1,less_simple_ser,ser,30000,96,1
0,0,0,1,less_simple_ser,ser,30000,30889,0
1,1,1,0,less_simple_ser,ser,30000,131,1
0,1,1,0,less_simple_ser,ser,30000,126,1
1,0,1,0,less_simple_ser,ser,30000,138,1
0,0,1,0,less_simple_ser,ser,30000,143,1
1,1,0,0,less_simple_ser,ser,30000,398,1
0,1,0,0,less_simple_ser,ser,30000,99,1
1,0,0,0,less_simple_ser,ser,30000,30820,0
0,0,0,0,less_simple_ser,ser,30000,31202,0
1,1,1,1,mixed_expr,ser,30000,88,1
0,1,1,1,mixed_expr,ser,30000,86,1
1,0,1,1,mixed_expr,ser,30000,90,1
0,0,1,1,mixed_expr,ser,30000,91,1
1,1,0,1,mixed_expr,ser,30000,97,1
0,1,0,1,mixed_expr,ser,30000,94,1
1,0,0,1,mixed_expr,ser,30000,94,1
0,0,0,1,mixed_expr,ser,30000,94,1
1,1,1,0,mixed_expr,ser,30000,88,1
0,1,1,0,mixed_expr,ser,30000,90,1
1,0,1,0,mixed_expr,ser,30000,97,1
0,0,1,0,mixed_expr,ser,30000,107,1
1,1,0,0,mixed_expr,ser,30000,95,1
0,1,0,0,mixed_expr,ser,30000,104,1
1,0,0,0,mixed_expr,ser,30000,91,1
0,0,0,0,mixed_expr,ser,30000,90,1
1,1,1,1,modulo_nonser,ser,30000,178,1
0,1,1,1,modulo_nonser,ser,30000,149,1
1,0,1,1,modulo_nonser,ser,30000,199,1
0,0,1,1,modulo_nonser,ser,30000,199,1
1,1,0,1,modulo_nonser,ser,30000,30030,0
0,1,0,1,modulo_nonser,ser,30000,30030,0
1,0,0,1,modulo_nonser,ser,30000,30029,0
0,0,0,1,modulo_nonser,ser,30000,30029,0
1,1,1,0,modulo_nonser,ser,30000,179,1
