mode,example,elapsed_ms
without-remove-redundant-sets without-generate-less,boolean_ops,96
without-bidirectional without-remove-redundant-sets without-generate-less,boolean_ops,97
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,boolean_ops,91
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,boolean_ops,96
without-smart-kleene-order,boolean_ops,96
without-bidirectional without-smart-kleene-order,boolean_ops,101
without-remove-redundant-parts without-smart-kleene-order,boolean_ops,101
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,boolean_ops,96
without-remove-redundant-sets without-smart-kleene-order,boolean_ops,99
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,boolean_ops,93
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,boolean_ops,92
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,boolean_ops,94
without-generate-less without-smart-kleene-order,boolean_ops,113
without-bidirectional without-generate-less without-smart-kleene-order,boolean_ops,107
without-remove-redundant-parts without-generate-less without-smart-kleene-order,boolean_ops,101
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,boolean_ops,102
without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,104
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,110
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,124
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,boolean_ops,122
all-on,complex_expr,111
without-bidirectional,complex_expr,116
without-remove-redundant-parts,complex_expr,118
without-bidirectional without-remove-redundant-parts,complex_expr,117
without-remove-redundant-sets,complex_expr,107
without-bidirectional without-remove-redundant-sets,complex_expr,130
without-remove-redundant-parts without-remove-redundant-sets,complex_expr,120
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,complex_expr,111
without-generate-less,complex_expr,122
without-bidirectional without-generate-less,complex_expr,106
without-remove-redundant-parts without-generate-less,complex_expr,102
without-bidirectional without-remove-redundant-parts without-generate-less,complex_expr,95
without-remove-redundant-sets without-generate-less,complex_expr,100
without-bidirectional without-remove-redundant-sets without-generate-less,complex_expr,98
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_expr,104
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_expr,114
without-smart-kleene-order,complex_expr,95
without-bidirectional without-smart-kleene-order,complex_expr,100
without-remove-redundant-parts without-smart-kleene-order,complex_expr,102
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,complex_expr,107
without-remove-redundant-sets without-smart-kleene-order,complex_expr,138
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,complex_expr,117
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_expr,118
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_expr,128
without-generate-less without-smart-kleene-order,complex_expr,118
without-bidirectional without-generate-less without-smart-kleene-order,complex_expr,102
without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_expr,105
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_expr,103
without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,97
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,98
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,102
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_expr,104
all-on,complex_while_with_yields,204
without-bidirectional,complex_while_with_yields,193
without-remove-redundant-parts,complex_while_with_yields,175
without-bidirectional without-remove-redundant-parts,complex_while_with_yields,162
without-remove-redundant-sets,complex_while_with_yields,188
without-bidirectional without-remove-redundant-sets,complex_while_with_yields,184
without-remove-redundant-parts without-remove-redundant-sets,complex_while_with_yields,205
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,complex_while_with_yields,175
without-generate-less,complex_while_with_yields,193
without-bidirectional without-generate-less,complex_while_with_yields,187
without-remove-redundant-parts without-generate-less,complex_while_with_yields,177
without-bidirectional without-remove-redundant-parts without-generate-less,complex_while_with_yields,181
without-remove-redundant-sets without-generate-less,complex_while_with_yields,195
without-bidirectional without-remove-redundant-sets without-generate-less,complex_while_with_yields,203
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_while_with_yields,168
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,complex_while_with_yields,168
without-smart-kleene-order,complex_while_with_yields,209
without-bidirectional without-smart-kleene-order,complex_while_with_yields,180
without-remove-redundant-parts without-smart-kleene-order,complex_while_with_yields,181
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,complex_while_with_yields,179
without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,186
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,176
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,171
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,complex_while_with_yields,168
without-generate-less without-smart-kleene-order,complex_while_with_yields,189
without-bidirectional without-generate-less without-smart-kleene-order,complex_while_with_yields,177
without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_while_with_yields,166
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,complex_while_with_yields,169
without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,178
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,180
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,171
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,complex_while_with_yields,167
all-on,equality_check,92
without-bidirectional,equality_check,94
without-remove-redundant-parts,equality_check,92
without-bidirectional without-remove-redundant-parts,equality_check,90
without-remove-redundant-sets,equality_check,90
without-bidirectional without-remove-redundant-sets,equality_check,93
without-remove-redundant-parts without-remove-redundant-sets,equality_check,101
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,equality_check,99
without-generate-less,equality_check,92
without-bidirectional without-generate-less,equality_check,94
without-remove-redundant-parts without-generate-less,equality_check,93
without-bidirectional without-remove-redundant-parts without-generate-less,equality_check,92
without-remove-redundant-sets without-generate-less,equality_check,89
without-bidirectional without-remove-redundant-sets without-generate-less,equality_check,89
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,equality_check,90
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,equality_check,90
without-smart-kleene-order,equality_check,94
without-bidirectional without-smart-kleene-order,equality_check,99
without-remove-redundant-parts without-smart-kleene-order,equality_check,102
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,equality_check,93
without-remove-redundant-sets without-smart-kleene-order,equality_check,97
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,equality_check,105
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,equality_check,98
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,equality_check,91
without-generate-less without-smart-kleene-order,equality_check,98
without-bidirectional without-generate-less without-smart-kleene-order,equality_check,93
without-remove-redundant-parts without-generate-less without-smart-kleene-order,equality_check,87
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,equality_check,94
without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,92
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,95
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,97
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,equality_check,102
all-on,ex,112
without-bidirectional,ex,117
without-remove-redundant-parts,ex,125
without-bidirectional without-remove-redundant-parts,ex,120
without-remove-redundant-sets,ex,113
without-bidirectional without-remove-redundant-sets,ex,113
without-remove-redundant-parts without-remove-redundant-sets,ex,122
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,ex,121
without-generate-less,ex,143
without-bidirectional without-generate-less,ex,137
without-remove-redundant-parts without-generate-less,ex,136
without-bidirectional without-remove-redundant-parts without-generate-less,ex,119
without-remove-redundant-sets without-generate-less,ex,121
without-bidirectional without-remove-redundant-sets without-generate-less,ex,113
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,ex,117
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,ex,125
without-smart-kleene-order,ex,144
without-bidirectional without-smart-kleene-order,ex,161
without-remove-redundant-parts without-smart-kleene-order,ex,170
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,ex,142
without-remove-redundant-sets without-smart-kleene-order,ex,132
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,ex,139
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,ex,133
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,ex,122
without-generate-less without-smart-kleene-order,ex,111
without-bidirectional without-generate-less without-smart-kleene-order,ex,132
without-remove-redundant-parts without-generate-less without-smart-kleene-order,ex,118
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,ex,118
without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,117
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,115
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,109
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,ex,108
all-on,flag_non_ser,112
without-bidirectional,flag_non_ser,115
without-remove-redundant-parts,flag_non_ser,124
without-bidirectional without-remove-redundant-parts,flag_non_ser,131
without-remove-redundant-sets,flag_non_ser,130
without-bidirectional without-remove-redundant-sets,flag_non_ser,115
without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser,120
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser,117
without-generate-less,flag_non_ser,115
without-bidirectional without-generate-less,flag_non_ser,119
without-remove-redundant-parts without-generate-less,flag_non_ser,110
without-bidirectional without-remove-redundant-parts without-generate-less,flag_non_ser,108
without-remove-redundant-sets without-generate-less,flag_non_ser,116
without-bidirectional without-remove-redundant-sets without-generate-less,flag_non_ser,122
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser,120
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,flag_non_ser,112
without-smart-kleene-order,flag_non_ser,118
without-bidirectional without-smart-kleene-order,flag_non_ser,124
without-remove-redundant-parts without-smart-kleene-order,flag_non_ser,113
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,flag_non_ser,113
without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,117
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,120
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,116
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,flag_non_ser,117
without-generate-less without-smart-kleene-order,flag_non_ser,110
without-bidirectional without-generate-less without-smart-kleene-order,flag_non_ser,114
without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser,110
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,flag_non_ser,122
without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,125
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,120
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,111
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,flag_non_ser,129
all-on,flag_non_ser_turned_ser,108
without-bidirectional,flag_non_ser_turned_ser,95
without-remove-redundant-parts,flag_non_ser_turned_ser,100
without-bidirectional without-remove-redundant-parts,flag_non_ser_turned_ser,98
without-remove-redundant-sets,flag_non_ser_turned_ser,99
without-bidirectional without-remove-redundant-sets,flag_non_ser_turned_ser,95
without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser_turned_ser,95
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,flag_non_ser_turned_ser,93
without-generate-less,flag_non_ser_turned_ser,97
without-bidirectional without-generate-less,flag_non_ser_turned_ser,98
